index,value,model
npar,16,fit1
logl,-861.941713830165,fit1
ppp,0.49715,fit1
bic,1800.87837734629,fit1
dic,1751.38614469539,fit1
p_dic,13.7513585175313,fit1
waic,1753.45020560248,fit1
p_waic,15.2435867812435,fit1
se_waic,32.0210168467692,fit1
looic,1753.54784848774,fit1
p_loo,15.2924082238707,fit1
se_loo,32.040015903308,fit1
margloglik,-914.754879620696,fit1
npar,15,fit2
logl,-876.786095813839,fit2
ppp,0.3556,fit2
bic,1825.75495695826,fit2
dic,1730.16242981778,fit2
p_dic,-11.7048809049513,fit2
waic,1758.10457437119,fit2
p_waic,15.647440597421,fit2
se_waic,32.3692693798861,fit2
looic,1758.16151483541,fit2
p_loo,15.6759108295277,fit2
se_loo,32.3789437835692,fit2
margloglik,-924.440052833114,fit2
npar,20,fit3
logl,-859.219075218144,fit3
ppp,0.50575,fit3
bic,1814.68183754374,fit3
dic,1756.22155218538,fit3
p_dic,18.8917008745461,fit3
waic,1756.48286234979,fit3
p_waic,18.3675291354604,fit3
se_waic,32.5131060835468,fit3
looic,1756.5861330887,fit3
p_loo,18.4191645049152,fit3
se_loo,32.5306231966162,fit3
margloglik,-915.150974052295,fit3
